Rotary encoder SYNC DATA
Neuropixel setup
Samping rate: 50 sps
20-21-09_01-13-2023
timestamp_sys,timestamp
2023-01-13_20:22:36.524052,87350
2023-01-13_20:22:36.634573,87460
2023-01-13_20:22:36.744141,87570
2023-01-13_20:22:36.854554,87680
2023-01-13_20:22:36.964444,87790
2023-01-13_20:22:37.075086,87900
2023-01-13_20:22:37.184659,88010
2023-01-13_20:22:37.295223,88121
2023-01-13_20:22:37.405050,88231
2023-01-13_20:22:37.514981,88341
2023-01-13_20:22:37.624656,88451
2023-01-13_20:22:37.735276,88561
2023-01-13_20:22:37.845039,88671
2023-01-13_20:22:37.954965,88781
2023-01-13_20:22:38.065530,88891
2023-01-13_20:22:38.175262,89001
2023-01-13_20:22:38.285356,89111
2023-01-13_20:22:38.395619,89221
2023-01-13_20:22:38.505456,89331
2023-01-13_20:22:38.615719,89441
2023-01-13_20:22:38.725283,89551
2023-01-13_20:22:38.835732,89662
2023-01-13_20:22:38.945666,89772
2023-01-13_20:22:39.056288,89882
2023-01-13_20:22:39.165807,89992
2023-01-13_20:22:39.276544,90102
2023-01-13_20:22:39.385584,90212
2023-01-13_20:22:39.496804,90322
2023-01-13_20:22:39.606819,90432
2023-01-13_20:22:39.716475,90542
2023-01-13_20:22:39.826193,90652
2023-01-13_20:22:39.937211,90762
2023-01-13_20:22:40.046237,90872
2023-01-13_20:22:40.157553,90982
2023-01-13_20:22:40.266520,91092
2023-01-13_20:22:40.377222,91202
2023-01-13_20:22:40.486239,91313
2023-01-13_20:22:40.597389,91423
2023-01-13_20:22:40.706856,91533
2023-01-13_20:22:40.817370,91643
2023-01-13_20:22:40.927125,91753
2023-01-13_20:22:41.037537,91863
2023-01-13_20:22:41.146826,91973
2023-01-13_20:22:41.257415,92083
2023-01-13_20:22:41.367282,92193
2023-01-13_20:22:41.478037,92303
2023-01-13_20:22:41.587116,92413
2023-01-13_20:22:41.697723,92523
2023-01-13_20:22:41.807554,92633
2023-01-13_20:22:41.918534,92743
2023-01-13_20:22:42.028063,92854
2023-01-13_20:22:42.137850,92964
2023-01-13_20:22:42.247395,93074
2023-01-13_20:22:42.358781,93184
2023-01-13_20:22:42.467814,93294
2023-01-13_20:22:42.578138,93404
2023-01-13_20:22:42.688650,93514
2023-01-13_20:22:42.798222,93624
2023-01-13_20:22:42.908687,93734
2023-01-13_20:22:43.018678,93844
2023-01-13_20:22:43.128753,93954
2023-01-13_20:22:43.239712,94064
2023-01-13_20:22:43.348339,94174
2023-01-13_20:22:43.458901,94284
2023-01-13_20:22:43.569262,94395
2023-01-13_20:22:43.679198,94505
2023-01-13_20:22:43.789033,94615
2023-01-13_20:22:43.898783,94725
2023-01-13_20:22:44.008675,94835
2023-01-13_20:22:44.119813,94945
2023-01-13_20:22:44.229557,95055
2023-01-13_20:22:44.338822,95165
2023-01-13_20:22:44.449031,95275
2023-01-13_20:22:44.559309,95385
2023-01-13_20:22:44.669567,95495
2023-01-13_20:22:44.779179,95605
2023-01-13_20:22:44.889162,95715
2023-01-13_20:22:44.999454,95825
2023-01-13_20:22:45.109290,95935
2023-01-13_20:22:45.219756,96046
2023-01-13_20:22:45.330259,96156
2023-01-13_20:22:45.439777,96266
2023-01-13_20:22:45.550582,96376
2023-01-13_20:22:45.660132,96486
2023-01-13_20:22:45.769914,96596
2023-01-13_20:22:45.880465,96706
2023-01-13_20:22:45.990778,96816
2023-01-13_20:22:46.100890,96926
2023-01-13_20:22:46.210736,97036
2023-01-13_20:22:46.320763,97146
2023-01-13_20:22:46.431034,97256
2023-01-13_20:22:46.541097,97366
2023-01-13_20:22:46.650684,97476
2023-01-13_20:22:46.760695,97587
2023-01-13_20:22:46.870995,97697
2023-01-13_20:22:46.981015,97807
2023-01-13_20:22:47.091357,97917
2023-01-13_20:22:47.200725,98027
2023-01-13_20:22:47.310774,98137
2023-01-13_20:22:47.421067,98247
2023-01-13_20:22:47.531441,98357
2023-01-13_20:22:47.641768,98467
2023-01-13_20:22:47.751279,98577
2023-01-13_20:22:47.860951,98687
2023-01-13_20:22:47.971052,98797
2023-01-13_20:22:48.081976,98907
2023-01-13_20:22:48.191597,99017
2023-01-13_20:22:48.301773,99128
2023-01-13_20:22:48.412479,99238
2023-01-13_20:22:48.521887,99348
2023-01-13_20:22:48.631770,99458
2023-01-13_20:22:48.742750,99568
2023-01-13_20:22:48.852548,99678
2023-01-13_20:22:48.961890,99788
2023-01-13_20:22:49.072405,99898
2023-01-13_20:22:49.181922,100008
2023-01-13_20:22:49.292755,100118
2023-01-13_20:22:49.402280,100228
2023-01-13_20:22:49.512792,100338
2023-01-13_20:22:49.622363,100448
2023-01-13_20:22:49.732531,100558
2023-01-13_20:22:49.843214,100668
2023-01-13_20:22:49.952732,100779
2023-01-13_20:22:50.062452,100889
2023-01-13_20:22:50.172966,100999
2023-01-13_20:22:50.283481,101109
2023-01-13_20:22:50.392999,101219
2023-01-13_20:22:50.503515,101329
2023-01-13_20:22:50.613409,101439
2023-01-13_20:22:50.723926,101549
2023-01-13_20:22:50.833444,101659
2023-01-13_20:22:50.943958,101769
2023-01-13_20:22:51.053477,101879
2023-01-13_20:22:51.163995,101989
2023-01-13_20:22:51.273512,102099
2023-01-13_20:22:51.384028,102209
2023-01-13_20:22:51.495169,102320
2023-01-13_20:22:51.604223,102430
2023-01-13_20:22:51.714744,102540
2023-01-13_20:22:51.824262,102650
2023-01-13_20:22:51.934893,102760
2023-01-13_20:22:52.044412,102870
2023-01-13_20:22:52.154926,102980
2023-01-13_20:22:52.264559,103090
2023-01-13_20:22:52.375070,103200
2023-01-13_20:22:52.484589,103310
2023-01-13_20:22:52.595103,103420
2023-01-13_20:22:52.704623,103530
2023-01-13_20:22:52.815194,103640
2023-01-13_20:22:52.924511,103750
2023-01-13_20:22:53.036020,103861
2023-01-13_20:22:53.144543,103971
2023-01-13_20:22:53.256282,104081
2023-01-13_20:22:53.365563,104191
2023-01-13_20:22:53.475553,104301
2023-01-13_20:22:53.584762,104411
2023-01-13_20:22:53.696081,104521
2023-01-13_20:22:53.805598,104631
2023-01-13_20:22:53.916114,104741
2023-01-13_20:22:54.025632,104851
2023-01-13_20:22:54.136392,104961
2023-01-13_20:22:54.245910,105071
2023-01-13_20:22:54.356424,105181
2023-01-13_20:22:54.465943,105291
2023-01-13_20:22:54.584957,105401
2023-01-13_20:22:54.686750,105512
2023-01-13_20:22:54.796428,105622
2023-01-13_20:22:54.906373,105732
2023-01-13_20:22:55.016598,105842
2023-01-13_20:22:55.126175,105952
2023-01-13_20:22:55.236688,106062
2023-01-13_20:22:55.346844,106172
2023-01-13_20:22:55.456661,106282
2023-01-13_20:22:55.566474,106392
2023-01-13_20:22:55.676988,106502
2023-01-13_20:22:55.786757,106612
2023-01-13_20:22:55.897472,106722
2023-01-13_20:22:56.007190,106832
2023-01-13_20:22:56.117705,106942
2023-01-13_20:22:56.227304,107053
2023-01-13_20:22:56.337909,107163
2023-01-13_20:22:56.446689,107273
2023-01-13_20:22:56.557836,107383
