Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:26.906976, 4360, 245690, 0, 209376
2023-01-13_20:23:26.926889, 4380, 245921, 0, 209376
2023-01-13_20:23:26.946801, 4400, 246102, 0, 209376
2023-01-13_20:23:26.966876, 4420, 246236, 0, 209376
2023-01-13_20:23:26.986788, 4440, 246334, 0, 209376
2023-01-13_20:23:27.007156, 4460, 246409, 0, 209376
2023-01-13_20:23:27.027069, 4480, 246574, 0, 209376
2023-01-13_20:23:27.046981, 4500, 246907, 0, 209376
2023-01-13_20:23:27.067160, 4520, 247464, 0, 209376
2023-01-13_20:23:27.086910, 4540, 248053, 0, 209376
2023-01-13_20:23:27.106894, 4560, 248629, 0, 209376
2023-01-13_20:23:27.126804, 4580, 249137, 0, 209376
2023-01-13_20:23:27.147305, 4600, 249590, 0, 209376
2023-01-13_20:23:27.167217, 4620, 249981, 0, 209376
2023-01-13_20:23:27.187180, 4640, 250309, 0, 209376
2023-01-13_20:23:27.207094, 4660, 250571, 0, 209376
2023-01-13_20:23:27.226667, 4680, 250777, 0, 209376
2023-01-13_20:23:27.246579, 4700, 250906, 0, 209376
2023-01-13_20:23:27.266669, 4720, 251045, 0, 209376
2023-01-13_20:23:27.287578, 4740, 251570, 0, 209376
2023-01-13_20:23:27.307489, 4760, 252176, 0, 209376
2023-01-13_20:23:27.327401, 4780, 252784, 0, 209376
2023-01-13_20:23:27.347393, 4800, 253322, 0, 209376
2023-01-13_20:23:27.367384, 4820, 253803, 0, 209376
2023-01-13_20:23:27.386960, 4840, 254226, 0, 209376
2023-01-13_20:23:27.406874, 4860, 254579, 0, 209376
2023-01-13_20:23:27.426784, 4880, 254866, 0, 209376
2023-01-13_20:23:27.446770, 4900, 255100, 0, 209376
2023-01-13_20:23:27.466686, 4920, 255293, 0, 209376
2023-01-13_20:23:27.487669, 4940, 255367, 0, 209376
2023-01-13_20:23:27.506769, 4960, 255599, 0, 209376
2023-01-13_20:23:27.526493, 4980, 256131, 0, 209376
2023-01-13_20:23:27.546925, 5000, 256845, 0, 209376
2023-01-13_20:23:27.566838, 5020, 257415, 0, 209376
2023-01-13_20:23:27.586750, 5040, 257916, 0, 209376
2023-01-13_20:23:27.607019, 5060, 258359, 0, 209376
2023-01-13_20:23:27.626932, 5080, 258733, 0, 209376
2023-01-13_20:23:27.646466, 5100, 259040, 0, 209376
2023-01-13_20:23:27.667374, 5120, 259291, 0, 209376
2023-01-13_20:23:27.687060, 5140, 259492, 0, 209376
2023-01-13_20:23:27.706973, 5160, 259654, 0, 209376
2023-01-13_20:23:27.726723, 5180, 259657, 0, 209376
2023-01-13_20:23:27.747633, 5200, 259995, 0, 209376
2023-01-13_20:23:27.767026, 5220, 260566, 0, 209376
2023-01-13_20:23:27.786940, 5240, 261055, 0, 209376
2023-01-13_20:23:27.806888, 5260, 261466, 0, 209376
2023-01-13_20:23:27.827602, 5280, 261827, 0, 209376
2023-01-13_20:23:27.846519, 5300, 262142, 0, 209376
2023-01-13_20:23:27.867426, 5320, 262404, 0, 209376
2023-01-13_20:23:27.887339, 5340, 262610, 0, 209376
2023-01-13_20:23:27.907251, 5360, 262765, 0, 209376
2023-01-13_20:23:27.927379, 5380, 262878, 0, 209376
2023-01-13_20:23:27.947291, 5400, 262941, 0, 209376
2023-01-13_20:23:27.967204, 5420, 263165, 0, 209376
2023-01-13_20:23:27.987116, 5440, 263802, 0, 209376
2023-01-13_20:23:28.006600, 5460, 264566, 0, 209376
2023-01-13_20:23:28.026623, 5480, 265209, 0, 209376
2023-01-13_20:23:28.046808, 5500, 265778, 0, 209376
2023-01-13_20:23:28.067162, 5520, 266293, 0, 209376
2023-01-13_20:23:28.087074, 5540, 266739, 0, 209376
2023-01-13_20:23:28.107349, 5560, 267104, 0, 209376
2023-01-13_20:23:28.127263, 5580, 267399, 0, 209376
2023-01-13_20:23:28.147000, 5600, 267640, 0, 209376
2023-01-13_20:23:28.166911, 5620, 267837, 0, 209376
2023-01-13_20:23:28.187489, 5640, 267877, 0, 209376
2023-01-13_20:23:28.207003, 5660, 268256, 0, 209376
2023-01-13_20:23:28.227349, 5680, 268902, 0, 209376
2023-01-13_20:23:28.246838, 5700, 269405, 0, 209376
2023-01-13_20:23:28.266752, 5720, 269818, 0, 209376
2023-01-13_20:23:28.287564, 5740, 270184, 0, 209376
2023-01-13_20:23:28.306481, 5760, 270509, 0, 209376
2023-01-13_20:23:28.326806, 5780, 270782, 0, 209376
2023-01-13_20:23:28.346719, 5800, 271002, 0, 209376
2023-01-13_20:23:28.367322, 5820, 271168, 0, 209376
2023-01-13_20:23:28.387234, 5840, 271290, 0, 209376
2023-01-13_20:23:28.407246, 5860, 271290, 0, 209376
2023-01-13_20:23:28.427158, 5880, 271522, 0, 209376
2023-01-13_20:23:28.446739, 5900, 272049, 0, 209376
2023-01-13_20:23:28.466652, 5920, 272502, 0, 209376
2023-01-13_20:23:28.486635, 5940, 272774, 0, 209376
2023-01-13_20:23:28.506550, 5960, 272996, 0, 209376
2023-01-13_20:23:28.527457, 5980, 273195, 0, 209376
2023-01-13_20:23:28.546796, 6000, 273367, 0, 209376
2023-01-13_20:23:28.566710, 6020, 273501, 0, 209376
2023-01-13_20:23:28.586919, 6040, 273588, 0, 209376
2023-01-13_20:23:28.606831, 6060, 273631, 0, 209376
2023-01-13_20:23:28.627288, 6080, 273627, 0, 209376
2023-01-13_20:23:28.647201, 6100, 273791, 0, 209376
2023-01-13_20:23:28.667101, 6120, 274132, 0, 209376
2023-01-13_20:23:28.687013, 6140, 274674, 0, 209376
2023-01-13_20:23:28.706944, 6160, 275262, 0, 209376
2023-01-13_20:23:28.726854, 6180, 275731, 0, 209376
2023-01-13_20:23:28.746796, 6200, 276139, 0, 209376
2023-01-13_20:23:28.767356, 6220, 276507, 0, 209376
2023-01-13_20:23:28.787270, 6240, 276837, 0, 209376
2023-01-13_20:23:28.807276, 6260, 277122, 0, 209376
2023-01-13_20:23:28.827188, 6280, 277362, 0, 209376
2023-01-13_20:23:28.846983, 6300, 277561, 0, 209376
